x_nm,y_nm,phi_V
0.937500,7.500000,4.09600659e-01
0.937500,7.968750,4.11772331e-01
0.937500,8.437500,4.13777966e-01
0.937500,8.906250,4.15591788e-01
0.937500,9.375000,4.17206308e-01
0.937500,9.843750,4.18625093e-01
0.937500,10.312500,4.19857988e-01
0.937500,10.781250,4.20918029e-01
0.937500,11.250000,4.21819491e-01
0.937500,11.718750,4.22576666e-01
0.937500,12.187500,4.23203099e-01
0.937500,12.656250,4.23711109e-01
0.937500,13.125000,4.24111483e-01
0.937500,13.593750,4.24413266e-01
0.937500,14.062500,4.24623627e-01
0.937500,14.531250,4.24747750e-01
0.937500,15.000000,4.24788774e-01
0.937500,15.468750,4.24747750e-01
0.937500,15.937500,4.24623627e-01
0.937500,16.406250,4.24413266e-01
0.937500,16.875000,4.24111483e-01
0.937500,17.343750,4.23711109e-01
0.937500,17.812500,4.23203099e-01
0.937500,18.281250,4.22576666e-01
0.937500,18.750000,4.21819491e-01
0.937500,19.218750,4.20918029e-01
0.937500,19.687500,4.19857988e-01
0.937500,20.156250,4.18625093e-01
0.937500,20.625000,4.17206308e-01
0.937500,21.093750,4.15591788e-01
0.937500,21.562500,4.13777966e-01
0.937500,22.031250,4.11772331e-01
0.937500,22.500000,4.09600659e-01
0.937500,22.968750,4.07317542e-01
0.937500,23.437500,4.05020912e-01
0.937500,23.906250,4.02870098e-01
0.937500,24.375000,4.01104766e-01
0.937500,24.843750,4.00055244e-01
0.937500,25.312500,4.00130236e-01
0.937500,25.781250,4.01774207e-01
0.937500,26.250000,4.05367440e-01
0.937500,26.718750,4.10745230e-01
0.937500,27.187500,4.18039984e-01
0.937500,27.656250,4.24521700e-01
0.937500,28.125000,4.24604337e-01
0.937500,28.593750,4.18649228e-01
0.937500,29.062500,4.12329472e-01
0.937500,29.531250,4.08297393e-01
0.937500,30.000000,4.06802682e-01
1.406250,0.000000,4.20291742e-01
1.406250,0.468750,4.24308158e-01
1.406250,0.937500,4.33382946e-01
1.406250,1.406250,4.40654113e-01
1.406250,1.875000,4.45342315e-01
1.406250,2.343750,4.45309611e-01
1.406250,2.812500,4.40138511e-01
1.406250,3.281250,4.29517783e-01
1.406250,3.750000,4.16221433e-01
1.406250,4.218750,4.07839495e-01
1.406250,4.687500,4.03373506e-01
1.406250,5.156250,4.01668517e-01
1.406250,5.625000,4.01848779e-01
1.406250,6.093750,4.03183066e-01
1.406250,6.562500,4.05132987e-01
1.406250,7.031250,4.07342003e-01
1.406250,7.500000,4.09588251e-01
1.406250,7.968750,4.11743111e-01
1.406250,8.437500,4.13737903e-01
1.406250,8.906250,4.15541022e-01
1.406250,9.375000,4.17143030e-01
1.406250,9.843750,4.18547256e-01
1.406250,10.312500,4.19763983e-01
1.406250,10.781250,4.20806902e-01
1.406250,11.250000,4.21690972e-01
1.406250,11.718750,4.22431127e-01
1.406250,12.187500,4.23041500e-01
1.406250,12.656250,4.23534938e-01
1.406250,13.125000,4.23922694e-01
1.406250,13.593750,4.24214217e-01
1.406250,14.062500,4.24417002e-01
1.406250,14.531250,4.24536478e-01
1.406250,15.000000,4.24575936e-01
1.406250,15.468750,4.24536478e-01
1.406250,15.937500,4.24417002e-01
1.406250,16.406250,4.24214217e-01
1.406250,16.875000,4.23922694e-01
1.406250,17.343750,4.23534938e-01
1.406250,17.812500,4.23041500e-01
1.406250,18.281250,4.22431127e-01
1.406250,18.750000,4.21690972e-01
1.406250,19.218750,4.20806902e-01
1.406250,19.687500,4.19763983e-01
1.406250,20.156250,4.18547256e-01
1.406250,20.625000,4.17143030e-01
1.406250,21.093750,4.15541022e-01
1.406250,21.562500,4.13737903e-01
1.406250,22.031250,4.11743111e-01
1.406250,22.500000,4.09588251e-01
1.406250,22.968750,4.07342003e-01
1.406250,23.437500,4.05132987e-01
1.406250,23.906250,4.03183066e-01
1.406250,24.375000,4.01848779e-01
1.406250,24.843750,4.01668517e-01
1.406250,25.312500,4.03373506e-01
1.406250,25.781250,4.07839495e-01
