x_nm,y_nm,phi_V
6.250000,26.250000,2.14726599e-01
6.250000,27.500000,2.18121077e-01
6.250000,28.750000,2.21946247e-01
6.250000,30.000000,2.23017237e-01
7.500000,0.000000,2.51306648e-01
7.500000,1.250000,2.39729616e-01
7.500000,2.500000,2.27670149e-01
7.500000,3.750000,2.18808120e-01
7.500000,5.000000,2.14056864e-01
7.500000,6.250000,2.11880377e-01
7.500000,7.500000,2.11016524e-01
7.500000,8.750000,2.10896422e-01
7.500000,10.000000,2.11343130e-01
7.500000,11.250000,2.12277581e-01
7.500000,12.500000,2.13475394e-01
7.500000,13.750000,2.14559675e-01
7.500000,15.000000,2.14972317e-01
7.500000,16.250000,2.14559675e-01
7.500000,17.500000,2.13475394e-01
7.500000,18.750000,2.12277581e-01
7.500000,20.000000,2.11343130e-01
7.500000,21.250000,2.10896422e-01
7.500000,22.500000,2.11016524e-01
7.500000,23.750000,2.11880377e-01
7.500000,25.000000,2.14056864e-01
7.500000,26.250000,2.18808120e-01
7.500000,27.500000,2.27670149e-01
7.500000,28.750000,2.39729616e-01
7.500000,30.000000,2.51306648e-01
8.750000,0.000000,3.31284357e-01
8.750000,1.250000,2.86782722e-01
8.750000,2.500000,2.43583978e-01
8.750000,3.750000,2.24306306e-01
8.750000,5.000000,2.15633329e-01
8.750000,6.250000,2.12421892e-01
8.750000,7.500000,2.11094107e-01
8.750000,8.750000,2.10648450e-01
8.750000,10.000000,2.10672943e-01
8.750000,11.250000,2.10970964e-01
8.750000,12.500000,2.11384648e-01
8.750000,13.750000,2.11733102e-01
8.750000,15.000000,2.11871937e-01
8.750000,16.250000,2.11733102e-01
8.750000,17.500000,2.11384648e-01
8.750000,18.750000,2.10970964e-01
8.750000,20.000000,2.10672943e-01
8.750000,21.250000,2.10648450e-01
8.750000,22.500000,2.11094107e-01
8.750000,23.750000,2.12421892e-01
8.750000,25.000000,2.15633329e-01
8.750000,26.250000,2.24306306e-01
8.750000,27.500000,2.43583978e-01
8.750000,28.750000,2.86782722e-01
8.750000,30.000000,3.31284357e-01
10.000000,0.000000,3.69992448e-01
10.000000,1.250000,3.50575422e-01
10.000000,2.500000,2.67012227e-01
10.000000,3.750000,2.27463927e-01
10.000000,5.000000,2.16787881e-01
10.000000,6.250000,2.12758988e-01
10.000000,7.500000,2.11170870e-01
10.000000,8.750000,2.10561111e-01
10.000000,10.000000,2.10414551e-01
10.000000,11.250000,2.10497120e-01
10.000000,12.500000,2.10668192e-01
10.000000,13.750000,2.10822126e-01
10.000000,15.000000,2.10882681e-01
10.000000,16.250000,2.10822126e-01
10.000000,17.500000,2.10668192e-01
10.000000,18.750000,2.10497120e-01
10.000000,20.000000,2.10414551e-01
10.000000,21.250000,2.10561111e-01
10.000000,22.500000,2.11170870e-01
10.000000,23.750000,2.12758988e-01
10.000000,25.000000,2.16787881e-01
10.000000,26.250000,2.27463927e-01
10.000000,27.500000,2.67012227e-01
10.000000,28.750000,3.50575422e-01
10.000000,30.000000,3.69992448e-01
11.250000,0.000000,3.69982145e-01
11.250000,1.250000,3.50565441e-01
11.250000,2.500000,2.67006381e-01
11.250000,3.750000,2.27461515e-01
11.250000,5.000000,2.16790431e-01
11.250000,6.250000,2.12768848e-01
11.250000,7.500000,2.11190292e-01
11.250000,8.750000,2.10592577e-01
11.250000,10.000000,2.10460598e-01
11.250000,11.250000,2.10559468e-01
11.250000,12.500000,2.10746263e-01
11.250000,13.750000,2.10911875e-01
11.250000,15.000000,2.10976770e-01
11.250000,16.250000,2.10911875e-01
11.250000,17.500000,2.10746263e-01
11.250000,18.750000,2.10559468e-01
11.250000,20.000000,2.10460598e-01
11.250000,21.250000,2.10592577e-01
11.250000,22.500000,2.11190292e-01
11.250000,23.750000,2.12768848e-01
11.250000,25.000000,2.16790431e-01
11.250000,26.250000,2.27461515e-01
11.250000,27.500000,2.67006381e-01
11.250000,28.750000,3.50565441e-01
11.250000,30.000000,3.69982145e-01
12.500000,0.000000,3.31253600e-01
12.500000,1.250000,2.86758834e-01
12.500000,2.500000,2.43565821e-01
12.500000,3.750000,2.24296394e-01
12.500000,5.000000,2.15638223e-01
12.500000,6.250000,2.12447735e-01
12.500000,7.500000,2.11147247e-01
12.500000,8.750000,2.10736557e-01
12.500000,10.000000,2.10805106e-01
12.500000,11.250000,2.11154859e-01
12.500000,12.500000,2.11620903e-01
12.500000,13.750000,2.12009564e-01
12.500000,15.000000,2.12163657e-01
12.500000,16.250000,2.12009564e-01
12.500000,17.500000,2.11620903e-01
12.500000,18.750000,2.11154859e-01
12.500000,20.000000,2.10805106e-01
12.500000,21.250000,2.10736557e-01
12.500000,22.500000,2.11147247e-01
12.500000,23.750000,2.12447735e-01
12.500000,25.000000,2.15638223e-01
12.500000,26.250000,2.24296394e-01
12.500000,27.500000,2.43565821e-01
12.500000,28.750000,2.86758834e-01
12.500000,30.000000,3.31253600e-01
13.750000,0.000000,2.51258120e-01
13.750000,1.250000,2.39685099e-01
13.750000,2.500000,2.27632262e-01
13.750000,3.750000,2.18784602e-01
13.750000,5.000000,2.14056498e-01
13.750000,6.250000,2.11911099e-01
13.750000,7.500000,2.11086919e-01
13.750000,8.750000,2.11019244e-01
13.750000,10.000000,2.11538501e-01
13.750000,11.250000,2.12569659e-01
13.750000,12.500000,2.13876364e-01
13.750000,13.750000,2.15051839e-01
13.750000,15.000000,2.15500250e-01
13.750000,16.250000,2.15051839e-01
13.750000,17.500000,2.13876364e-01
13.750000,18.750000,2.12569659e-01
13.750000,20.000000,2.11538501e-01
13.750000,21.250000,2.11019244e-01
13.750000,22.500000,2.11086919e-01
13.750000,23.750000,2.11911099e-01
13.750000,25.000000,2.14056498e-01
13.750000,26.250000,2.18784602e-01
13.750000,27.500000,2.27632262e-01
13.750000,28.750000,2.39685099e-01
13.750000,30.000000,2.51258120e-01
15.000000,0.000000,2.22941172e-01
15.000000,1.250000,2.21872689e-01
15.000000,2.500000,2.18058192e-01
15.000000,3.750000,2.14683438e-01
15.000000,5.000000,2.12492550e-01
15.000000,6.250000,2.11374333e-01
15.000000,7.500000,2.11059041e-01
15.000000,8.750000,2.11458530e-01
15.000000,10.000000,2.12761139e-01
15.000000,11.250000,2.15416270e-01
15.000000,12.500000,2.19466299e-01
15.000000,13.750000,2.23181701e-01
15.000000,15.000000,2.25017157e-01
15.000000,16.250000,2.23181701e-01
15.000000,17.500000,2.19466299e-01
15.000000,18.750000,2.15416270e-01
15.000000,20.000000,2.12761139e-01
15.000000,21.250000,2.11458530e-01
15.000000,22.500000,2.11059041e-01
15.000000,23.750000,2.11374333e-01
15.000000,25.000000,2.12492550e-01
15.000000,26.250000,2.14683438e-01
15.000000,27.500000,2.18058192e-01
15.000000,28.750000,2.21872689e-01
15.000000,30.000000,2.22941172e-01
16.250000,0.000000,2.14856396e-01
16.250000,1.250000,2.14383324e-01
16.250000,2.500000,2.13413270e-01
16.250000,3.750000,2.12252881e-01
16.250000,5.000000,2.11374218e-01
16.250000,6.250000,2.10954298e-01
16.250000,7.500000,2.11088191e-01
16.250000,8.750000,2.12011816e-01
16.250000,10.000000,2.14380180e-01
16.250000,11.250000,2.20050731e-01
16.250000,12.500000,2.32926552e-01
16.250000,13.750000,2.52322107e-01
16.250000,15.000000,2.59272744e-01
16.250000,16.250000,2.52322107e-01
16.250000,17.500000,2.32926552e-01
16.250000,18.750000,2.20050731e-01
16.250000,20.000000,2.14380180e-01
16.250000,21.250000,2.12011816e-01
16.250000,22.500000,2.11088191e-01
16.250000,23.750000,2.10954298e-01
16.250000,25.000000,2.11374218e-01
16.250000,26.250000,2.12252881e-01
16.250000,27.500000,2.13413270e-01
16.250000,28.750000,2.14383324e-01
16.250000,30.000000,2.14856396e-01
17.500000,0.000000,2.11882869e-01
17.500000,1.250000,2.11757056e-01
17.500000,2.500000,2.11406828e-01
17.500000,3.750000,2.11005846e-01
17.500000,5.000000,2.10711762e-01
17.500000,6.250000,2.10689374e-01
17.500000,7.500000,2.11149306e-01
17.500000,8.750000,2.12539771e-01
17.500000,10.000000,2.16053901e-01
17.500000,11.250000,2.25065978e-01
17.500000,12.500000,2.55492145e-01
17.500000,13.750000,3.17117086e-01
17.500000,15.000000,3.36941871e-01
17.500000,16.250000,3.17117086e-01
17.500000,17.500000,2.55492145e-01
17.500000,18.750000,2.25065978e-01
17.500000,20.000000,2.16053901e-01
17.500000,21.250000,2.12539771e-01
17.500000,22.500000,2.11149306e-01
17.500000,23.750000,2.10689374e-01
17.500000,25.000000,2.10711762e-01
